Date,Company,Number of Jobs,Job Position/Category,Reason Given,Source Link,
2022-11-09,Meta,"11,000",Across all departments,"AI-Driven Restructuring: Zuckerberg noted the need to become more capital efficient and move resources to the ""AI discovery engine"" and advertising platforms.",https://about.fb.com/news/2022/11/mark-zuckerberg-layoff-message-to-employees/,
2023-01-20,Google (Alphabet),"12,000","Mixed — recruiting, corporate, engineering, experimental projects (~6%)","CEO Sundar Pichai memo: company facing 'a different economic reality,' doubling down on AI while cutting staff in experimental projects. Redirected resources toward AI launch.",https://www.reuters.com/business/google-parent-lay-off-12000-workers-memo-2023-01-20/,
2023-02-24,Ericsson,"8,500",Mixed / Global (~8% of workforce),"Part of cost-cutting plan saving $860M. Layoffs tied to macro conditions and restructuring, with some AI/automation efficiency cited.",https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,
2023-04-19,Meta,"4,000",Technical Roles (Product/Engineering),"AI-First Reallocation: Zuckerberg confirmed these cuts were necessary to refocus the technical workforce on ""AI discovery engines"" and advanced infrastructure.",https://www.theguardian.com/technology/2023/may/24/meta-layoffs-final-round-facebook,
2023-04-20,BuzzFeed,180,News / Editorial (15% of workforce),CEO Jonah Peretti announced AI pivot in Jan 2023 memo: 'AI inspired content will move from R&D to core business.' April cuts shuttered BuzzFeed News. Peretti later said AI will 'replace the majority of static content.',https://www.cnbc.com/2023/04/20/buzzfeed-will-lay-off-15percent-of-staff-shutter-its-news-unit.html,
2023-04-27,Dropbox,500,"Mixed (engineering, product, general)","CEO Drew Houston cited AI era: 'The AI era of computing has finally arrived... our next stage of growth requires a different mix of skill sets, particularly in AI.'",https://blog.dropbox.com/topics/company/a-message-from-drew,
2023-05-01,IBM,"7,800 (estimated, ongoing)",Back-office / Human Resources (hiring freeze)*,"*HIRING FREEZE — Economic impact, not direct layoffs. CEO Arvind Krishna: 'I could easily see 30% of that getting replaced by AI and automation over a five-year period.' Paused hiring for ~26,000 non-customer-facing roles. AskHR chatbot now handles 94% of routine HR queries without human handoff. Freeze active since May 2023.",https://www.reuters.com/technology/ibm-pause-hiring-plans-replace-7800-jobs-with-ai-bloomberg-news-2023-05-01/,
2023-05-24,Meta,"10,000","Business, Recruiting, and Engineering","Finalizing the AI Pivot: This was the final wave of the 10k plan. Zuckerberg confirmed the ""Year of Efficiency"" was designed to shift the ""single largest investment"" into advancing AI across all products.",https://www.theguardian.com/technology/2023/may/24/meta-layoffs-final-round-facebook,
2023-06-13,Chegg,80,Operations / Engineering (~4% of workforce),CEO cited AI disruption: students turning to ChatGPT instead of Chegg's homework help platform. SEC filing stated cuts to 'better align the Company with its AI strategy.',https://nypost.com/2023/06/13/chegg-cuts-4-of-staff-over-chatgpt-crushing-business/,
2023-12-01,Onclusive (France),209,Media monitoring / Operations,First redundancy plan in France explicitly caused by AI. 209 of 383 positions made redundant to be replaced by AI-powered systems.,https://en-contact.com/onclusive-formerly-known-as-kantar-is-reducing-its-teams-to-replace-them-with-ai,
2024-01-03,Xerox,"3,000",Mixed / All levels (~15% of workforce),Part of company 'reinvention' restructuring. Automation reshaping print and services businesses; cuts across all levels and areas.,https://www.theregister.com/2024/01/03/xerox_layoffs/,
2024-01-08,Unity Software,"1,800",Engineering / Product (~25% of workforce),Focused more heavily on AI-assisted creation tools for developers. Cuts amid broader strategic changes and revenue challenges.,https://www.nytimes.com/2024/01/08/technology/unity-software-job-cuts.html,
2024-01-09,Duolingo,83 (10% contractors),Content creation / Translation contractors,Spokesperson stated cuts could be 'attributed to AI.' Company shifted to AI-driven content creation. CEO Luis von Ahn later confirmed replacing contractors with AI wherever feasible.,https://www.cnn.com/2024/01/09/tech/duolingo-layoffs-due-to-ai,
2024-01-09,Duolingo,Unknown (contractors),Content creation / Translation contractors,CEO Luis von Ahn company-wide email: 'gradually stop using contractors to do work that AI can handle.' Declared 'AI-first' company. 'New hires will only be authorized if a team is unable to automate.',https://www.cnn.com/2024/01/09/tech/duolingo-layoffs-due-to-ai,
2024-01-16,Google (Alphabet) — Ad Sales,300,Advertising sales / Large Customer Sales,SVP Philipp Schindler memo: restructuring ad sales amid AI integration. 'We map customers to the right specialist teams.' Coincided with broader AI restructuring of Google Assistant.,https://www.reuters.com/technology/google-lays-off-hundreds-employees-advertising-team-business-insider-2024-01-16/,
2024-01-19,Sports Illustrated (Arena Group),100,Editorial / Publishing (33% of workforce),"Arena Group lost SI license after missed $3.75M payment; previously caught publishing AI-generated articles with fake AI-generated author photos. Layoffs driven by licensing loss, but AI content controversy contributed to brand damage.",https://variety.com/2024/digital/news/sports-illustrated-layoffs-1235877983/,
2024-01-24,SAP,"8,000",Mixed / Restructuring (7% of workforce),"SAP announced €2B restructuring: 'In 2024, SAP will further increase its focus on key strategic growth areas, in particular Business AI.' Most positions covered by voluntary leave and reskilling.",https://www.reuters.com/technology/sap-announces-company-wide-restructuring-updates-2025-outlook-2024-01-23/,
